date,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score
2018-12-04,0.31845,0.0,1,0.31845,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-01-02,0.0,0.0,1,0.0,0.0,7.0,7,7,0,1,Other,Other,0.0,0,0,0,0,0,0,7
2019-01-28,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2019-03-01,-0.3953,0.0,2,-0.3953,0.0,8.0,8,16,0,2,Other,Other,0.0,0,0,0,0,0,0,8
2019-03-07,0.26335,0.0,1,0.26335,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-03-12,-0.3062,0.0,3,-0.3062,0.0,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2019-03-15,-0.3787,0.0,2,-0.3787,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2019-05-08,0.42405,0.0,1,0.42405,0.0,9.0,9,9,0,1,Other,Other,0.0,0,0,0,0,0,0,9
2019-05-30,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-06-14,0.0,0.0,1,0.0,0.0,7.0,7,7,0,1,Other,Other,0.0,0,0,0,0,0,0,7
2019-08-22,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2019-08-23,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2019-09-24,0.0,0.0,5,0.0,0.0,1.0,1,5,0,5,Other,Other,0.0,0,0,0,0,0,0,1
2019-09-26,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-10-10,0.1806,0.0,1,0.1806,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-10-23,0.35015,0.0,3,0.35015,0.0,9.0,9,27,0,3,Other,Other,0.0,0,0,0,0,0,0,9
2019-10-24,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-10-25,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2019-11-05,0.0,0.0,3,0.0,0.0,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
