Date,Close,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_50,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,RSI_14,RSI_21,MACD,MACD_Signal,MACD_Histogram,ATR_14,ATR_21,ADX,Volume_SMA_10,Volume_SMA_20,Volume_SMA_50,RSI_14_Lag_1,RSI_14_Lag_2,RSI_14_Lag_3,RSI_14_Lag_5,MACD_Lag_1,MACD_Lag_2,MACD_Lag_3,MACD_Lag_5
2015-01-01 00:00:00+05:30,69.80012512207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 00:00:00+05:30,70.40772247314453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05 00:00:00+05:30,70.50625610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06 00:00:00+05:30,68.11690521240234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07 00:00:00+05:30,66.40084838867188,69.04637145996094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08 00:00:00+05:30,67.44361877441406,68.57507019042968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09 00:00:00+05:30,68.30575561523438,68.15467681884766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12 00:00:00+05:30,69.02011108398438,67.85744781494141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13 00:00:00+05:30,70.10392761230469,68.25485229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14 00:00:00+05:30,69.57022094726562,68.88872680664062,68.96754913330078,,,,,,,,,,,,,,,,,,,,,3218216.4,,,,,,,,,,
2015-01-15 00:00:00+05:30,70.63762664794922,69.52752838134765,69.05129928588867,,,,,,,,,,,,,,,,,,,,,3347244.6,,,,,,,,,,
2015-01-16 00:00:00+05:30,70.61299133300781,69.98897552490234,69.071826171875,,,,,69.2438424428304,,,,,,,,,,,,,,,,3244174.8,,,,,,,,,,
2015-01-19 00:00:00+05:30,70.89215850830078,70.36338500976562,69.11041641235352,,,,,69.49742952982584,,,,,,,,,,,,,,,,3418656.6,,,,,,,,,,
2015-01-20 00:00:00+05:30,70.43235778808594,70.42907104492187,69.34196166992187,,,,,69.64126464648123,,,,,,,,,,,,,,,,3418390.8,,,,,,,,,,
2015-01-21 00:00:00+05:30,69.98897552490234,70.51282196044922,69.70077438354492,,,,,69.69475862777679,,,,,,,,50.833944818747646,,,,,1.6538911548565634,,,3224673.0,,,,,,,,,,
2015-01-22 00:00:00+05:30,69.8493881225586,70.3551742553711,69.94135131835938,,,,,69.71854778082015,,,,,,,,50.1678958053134,,,,,1.7034916602493362,,,3587035.2,,,50.833944818747646,,,,,,,
2015-01-23 00:00:00+05:30,67.8377456665039,69.80012512207031,69.89455032348633,,,,,69.42919360938687,,,,,,,,41.69023606982933,,,,,1.7524806778065813,,,4160331.0,,,50.1678958053134,50.833944818747646,,,,,,
2015-01-27 00:00:00+05:30,67.2465591430664,69.07100524902344,69.71719512939453,,,,,69.09340369149142,,,,,,,,39.57374859811524,,,,,1.7252471479992144,,,4626347.4,,,41.69023606982933,50.1678958053134,50.833944818747646,,,,,
2015-01-28 00:00:00+05:30,67.35330200195312,68.45519409179687,69.44213256835937,,,,,68.82569573925475,,,,,,,,40.16441178023801,,,,,1.6506935332977353,,,4524972.6,,,39.57374859811524,41.69023606982933,50.1678958053134,,,,,
2015-01-29 00:00:00+05:30,67.30403900146484,67.91820678710937,69.2155143737793,69.09153175354004,,,,68.59159470267169,,,71.89636259736596,69.09153175354004,66.28670090971411,0.08119174007695132,0.18135462500174016,39.97022593761305,,,,,1.609616642739883,,,4553997.6,3886107.0,,40.16441178023801,39.57374859811524,41.69023606982933,50.833944818747646,,,,
2015-01-30 00:00:00+05:30,68.10869598388672,67.570068359375,68.96262130737304,69.00696029663087,,,,68.51730259208938,,,71.82320585673652,69.00696029663087,66.19071473652521,0.08162207255615501,0.34052095359354134,44.675333588854485,,,,,1.6002115019699759,,,4588374.0,3967809.3,,39.97022593761305,40.16441178023801,39.57374859811524,50.1678958053134,,,,
2015-02-02 00:00:00+05:30,69.32389068603516,67.86729736328125,68.83371124267578,68.9527687072754,,,,68.64139306808104,,,71.6999771414328,68.9527687072754,66.205560273118,0.07968377443464529,0.5675452896375494,50.930441069248666,48.53385032171628,,,,1.6507134629232316,1.657410514278311,,4732420.2,3988297.5,,44.675333588854485,39.97022593761305,40.16441178023801,41.69023606982933,,,,
2015-02-03 00:00:00+05:30,69.91508483886719,68.4010025024414,68.73600387573242,68.92321014404297,,,,68.83734564820199,,,71.61508777785832,68.92321014404297,66.23133251022762,0.07811236964121616,0.6842347293881962,53.67456919575781,50.42854235105707,,,,1.648342956628547,1.6555112695411367,,4806906.6,4112781.6,,50.930441069248666,44.675333588854485,39.97022593761305,39.57374859811524,,,,
2015-02-04 00:00:00+05:30,70.16960906982422,68.96426391601562,68.70972900390625,69.02584533691406,,,,69.04230925152848,,,71.74333421307396,69.02584533691406,66.30835646075415,0.0787383004987736,0.7104449705285301,54.84535737137163,51.24000568071424,,,,1.6127121258154844,1.6314160340984953,,4968301.8,4193346.3,,53.67456919575781,50.930441069248666,44.675333588854485,40.16441178023801,,,,
2015-02-05 00:00:00+05:30,69.02011108398438,69.30747833251954,68.61284255981445,69.15680847167968,,,,69.03889414882939,,,71.59361482468766,69.15680847167968,66.7200021186717,0.07047191467795609,0.4719515283751275,48.84173080603692,47.54898215177235,,,,1.6834349566115618,1.6776739256633562,,5178592.8,4201632.9,,54.84535737137163,53.67456919575781,50.930441069248666,39.97022593761305,,,,
2015-02-06 00:00:00+05:30,67.65709686279297,69.21715850830078,68.39361343383788,69.16748237609863,,,,68.82630995097763,69.07788936908429,,71.57588281359217,69.16748237609863,66.75908193860509,0.06963967329034321,0.18643388993950988,42.851825175348175,43.63553543231763,,,,1.68869770880405,1.6814567619320724,,4808775.6,4197905.4,,48.84173080603692,54.84535737137163,53.67456919575781,44.675333588854485,,,,
2015-02-09 00:00:00+05:30,67.65709686279297,68.88379974365235,68.3755485534668,69.13504943847656,,,,68.64643101433384,68.97264547972938,,71.60566137952128,69.13504943847656,66.66443749743183,0.07147205248600642,0.20089342014217315,42.85182517534818,43.63553543231764,,,,1.6689522184240724,1.6686379086726575,,4055202.6,4107766.8,,42.851825175348175,48.84173080603692,54.84535737137163,50.930441069248666,,,,
2015-02-10 00:00:00+05:30,67.70636749267578,68.44205627441406,68.42152938842773,69.06936225891113,,,,68.50180585715567,68.878847110318,,71.61735134765972,69.06936225891113,66.52137317016253,0.07378058824974483,0.23253520349556125,43.14414697812241,43.819810984862734,,,,1.6582412004236935,1.661512197136758,14.409049094287115,3516460.8,4071404.1,,42.85182517534818,42.851825175348175,48.84173080603692,53.67456919575781,,,,
