Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company,Type,Source,Daily_Return,Daily_Return_Percent,MA_20,MA_50,MA_200,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volume_MA_20,Volume_Ratio,Volatility_20D,Price_Change_5D,Price_Change_20D,NIFTY50_Close,NIFTY50_Return,NIFTY_PHARMA_Close,NIFTY_PHARMA_Return,Year,Month,Day_of_Week,Is_Month_End,Is_Quarter_End,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score,Return_1D,Return_3D,Return_5D,MA_5,Price_Above_MA_5,MA_10,Price_Above_MA_10,Price_Above_MA_20,Volatility_5D,Momentum_5D,Momentum_20D,Volume_MA_10,High_Volume,Positive_Sentiment,Negative_Sentiment,Strong_Sentiment,Sentiment_Change,Sentiment_MA_3,Major_FDA_Event,Minor_FDA_Event,Days_Since_FDA,Is_Monday,Is_Friday,Is_Earnings_Month,RSI_Oversold,RSI_Overbought,MACD_Positive,Sentiment_Volume_Signal,FDA_Sentiment_Signal,Next_Day_Up,Next_3Day_Up,Next_Day_Significant_Up,Next_Day_Significant_Down,Next_Day_Significant_Move,Next_Day_Return_Clean
2015-01-15,69.95613769412256,71.26987048519986,69.14327008696112,70.63763427734375,2786424,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0153429630601176,1.534296306011762,,,,,0.1108299642970394,-0.026167800582776,,,,,0.8324528083627923,,4.73583055146114,,8494.150390625,0.02616723439282,10936.2998046875,0.0050314524109804,2015,1,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.01534296306011762,0.023435760741989053,0.0473583055146114,69.52752685546875,1,69.05129852294922,1,0,0.15412103361232818,0.0473583055146114,,3347244.6,0,0,0,0,0.0,0.0,0,0,11,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0.0
2015-01-16,70.4487851856599,71.02354468009571,69.7919225614653,70.61299896240234,2931264,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0003487562287927,-0.0348756228792712,,,,,0.1705098829092577,0.0160703174877506,,,,,0.9035465957177784,,3.3778168858341173,,8513.7998046875,0.0023132877520259,11101.150390625,0.0150737076416689,2015,1,4,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.0003487562287927126,0.007261666606084738,0.03377816885834117,69.98897552490234,1,69.07182540893555,1,0,0.16352061654728856,0.03377816885834117,,3244174.8,0,0,0,0,0.0,0.0,0,0,12,0,1,1,0,0,1,0,0.0,1,0,0,0,0,0.0
2015-01-19,70.77720501854598,71.66396673926658,70.46518763407317,70.89215087890625,3474804,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0039532652713496,0.3953265271349648,,,,,0.2282770243094489,0.060980629357481,,,,,1.0164235224960814,,2.712333315868221,,8550.7001953125,0.0043341858478611,11249.2998046875,0.0133454109573736,2015,1,0,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.0039532652713496486,0.01900137607213659,0.027123333158682206,70.36338653564454,1,69.11041412353515,1,0,0.16061876798758884,0.027123333158682206,,3418656.6,0,0,0,0,0.0,0.0,0,0,13,1,0,1,0,0,1,0,0.0,0,0,0,0,0,0.0
2015-01-20,70.99069964553391,71.43408058711583,69.84118069356852,70.43235778808594,2585316,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0064858109835841,-0.6485810983584139,,,,52.90562189993247,0.2419038101693047,0.0988298937729488,,,,,0.7562959869023791,,0.4684904069820028,,8695.599609375,0.0169459121186279,11290.650390625,0.0036758364214162,2015,1,1,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.006485810983584139,-0.002906049889097928,0.004684904069820028,70.42907257080078,1,69.34196014404297,1,0,0.14774370460470193,0.004684904069820028,,3418390.8,0,0,0,0,0.0,0.0,0,0,14,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0.0
2015-01-21,70.61300305934846,71.1302858826308,69.21716708298959,69.98898315429688,2291508,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0062950417636602,-0.6295041763660247,,,,50.83394481874764,0.2227834233643619,0.1245246536846996,,,,,0.7106169491861813,,0.60192737830842,,8729.5,0.0038985684884169,11320.849609375,0.0026747102872899,2015,1,2,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.006295041763660247,-0.008837123720488393,0.0060192737830842,70.51282501220703,0,69.70077438354492,1,0,0.14314465219073705,0.0060192737830842,,3224673.0,0,0,0,0,0.0,0.0,0,0,15,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0.0
2015-01-22,70.35024558668616,71.26985762275051,68.92155964889119,69.84938049316406,6769236,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0019946376535439,-0.1994637653543907,,,,47.42807942365138,0.1970079914152762,0.1394411842398772,,,,,1.8871390258063188,,-1.1159119246332283,,8761.400390625,0.0036543204794088,11509.5,0.0166639781583861,2015,1,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.001994637653543907,-0.01470925021760705,-0.011159119246332283,70.3551742553711,0,69.94135055541992,0,0,0.06940612174654778,-0.011159119246332283,,3587035.2,0,0,0,0,0.0,0.0,0,0,16,0,0,1,0,0,1,0,0.0,0,0,0,1,1,-0.028799717933812752
2015-01-23,69.38136993648605,69.46348057529515,67.46004262959093,67.83773803710938,9542958,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0287997179338127,-2.879971793381275,,,,39.549807141299254,0.0504161870560437,0.121226015671219,,,,,2.293797225798326,,-3.930240842441268,,8835.599609375,0.0084688765998408,11581.099609375,0.0062209139732394,2015,1,4,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.028799717933812752,-0.03683846221339271,-0.03930240842441268,69.8001220703125,0,69.89454879760743,0,0,0.19711643344023874,-0.03930240842441268,,4160331.0,1,0,0,0,0.0,0.0,0,0,17,0,1,1,0,0,1,0,0.0,0,0,0,0,0,0.0
2015-01-27,67.13981456381197,67.65709729143418,66.46653440600046,67.2465591430664,7389474,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.0087146020953643,-0.8714602095364343,,,,46.032968125896765,-0.0997421046190396,0.0762216653111201,,,,,1.5972584338870803,,-5.142447634389069,,8910.5,0.0084771146199886,11583.25,0.0001856810404479,2015,1,1,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.008714602095364343,-0.03918365273552482,-0.05142447634389069,69.07100372314453,0,69.71719512939453,0,0,0.16728505286148598,-0.05142447634389069,,4626347.4,0,0,0,0,0.0,0.0,0,0,18,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0.0
2015-01-28,67.00844173593444,67.64888664236425,66.96739017738176,67.3532943725586,4175184,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,0.0015872221694661,0.1587222169466162,,,,55.087718726260846,-0.2070800540663526,0.0187328198581537,,,,,0.9226979799395958,,-4.371660288288948,,8914.2998046875,0.000426441242074,11577.75,-0.0004748235598817,2015,1,2,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,0.0015872221694661626,-0.035735264979905645,-0.04371660288288948,68.45519104003907,0,69.44213180541992,0,0,0.1879083085469386,-0.04371660288288948,,4524972.6,0,0,0,0,0.0,0.0,0,0,19,0,0,1,0,0,0,0,0.0,0,1,0,0,0,0.0
2015-01-29,67.17266799056613,68.14974928065564,67.07413221516784,67.30403900146484,3593808,0.0,0.0,BIOCON.NS,Biocon Limited,stock,Yahoo Finance,-0.00073129861802,-0.0731298618020015,69.09153099060059,,,49.1658710640467,-0.2905222731397714,-0.0438396097382026,69.09153099060059,71.9692332179844,66.21382876321678,3886107.0,0.789154392801087,,-3.836238264689218,,8952.349609375,0.0042684008302582,11752.0498046875,0.0150547217453735,2015,1,3,False,False,0.0,,0.0,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0.0,-0.0007312986180200154,-0.007867288195142708,-0.03836238264689218,67.91820220947265,0,69.21551361083985,0,0,0.1966116093288082,-0.03836238264689218,,4553997.6,0,0,0,0,0.0,0.0,0,0,20,0,0,1,0,0,0,0,0.0,1,1,1,0,1,0.011955552658650337
