,MSE,RMSE,MAE,R2
LinearRegression,0.002544004080196864,0.050438121299240156,0.04038264725692485,-0.07388964071195891
Ridge,0.0026071034231777367,0.05105980242008126,0.04095269977112831,-0.10052549844912373
Lasso,0.0023693282644151274,0.04867574616187334,0.0381924643530692,-0.00015448025718423075
RandomForest,0.002291918850924437,0.04787398929402517,0.036589410279314984,0.0325220267847417
GradientBoosting,0.002634034657791969,0.051322847327403505,0.0386797032141798,-0.11189386616871055
LightGBM,0.0028362422885613785,0.053256382608673096,0.041604797693681826,-0.19725091478609103
SVR,0.0023259705119070156,0.048228316494638455,0.03796787248208009,0.01814794371511186
LSTM,0.0025879625182469454,0.050872020976632584,0.03914632983423703,-0.0924456295216185
ensemble,0.002238098226579413,0.04730854284988509,0.0368258422473758,0.05524109842093905
