,val_accuracy,test_accuracy,val_auc,test_auc,val_precision,val_recall,val_f1,val_confusion_matrix,test_confusion_matrix,primary_metric,combined_score,training_time
random_forest_model,0.5489690721649485,0.517948717948718,0.5836785972040309,0.5455531747538582,0.5410226947308133,0.5489690721649485,0.5209599614462446,"[[52, 127], [48, 161]]","[[87, 74], [114, 115]]",0.5489690721649485,0.5565810186048028,0.5822560787200928
lightgbm_model,0.5103092783505154,0.5076923076923077,0.5333725374889737,0.5111611380834848,0.49868141182870684,0.5103092783505154,0.4938343676604331,"[[56, 123], [67, 142]]","[[77, 84], [108, 121]]",0.5103092783505154,0.5155807650230446,1.561396837234497
xgboost_model,0.5644329896907216,0.5333333333333333,0.5519499612413461,0.516802734004177,0.559449039289158,0.5644329896907216,0.5474374780381711,"[[64, 115], [54, 155]]","[[72, 89], [93, 136]]",0.5644329896907216,0.5589885299906538,1.3506600856781006
bagging_model,0.5876288659793815,0.5230769230769231,0.5826361230654085,0.5470178198486533,0.584706459903549,0.5876288659793815,0.5776705223914609,"[[76, 103], [57, 152]]","[[95, 66], [120, 109]]",0.5876288659793815,0.5851352087463976,2.588869333267212
lstm_model,0.46551724137931033,0.42857142857142855,0.5,0.5,,,,,,0.46551724137931033,,16.28412413597107
